model_key,model_id,architecture,role,workload,concurrency,target_prompt_tokens_per_request,target_output_tokens_per_request,elapsed_seconds_mean,elapsed_seconds_std,elapsed_seconds_count,prompt_tokens_per_second_mean,prompt_tokens_per_second_std,prompt_tokens_per_second_count,output_tokens_per_second_mean,output_tokens_per_second_std,output_tokens_per_second_count,total_tokens_per_second_mean,total_tokens_per_second_std,total_tokens_per_second_count,mean_request_latency_seconds_mean,mean_request_latency_seconds_std,mean_request_latency_seconds_count,p95_request_latency_seconds_mean,p95_request_latency_seconds_std,p95_request_latency_seconds_count
large_dense,allenai/OLMo-2-1124-7B,dense,large dense baseline,decode,1,32,256,8.997911078666524,0.0039853313293412235,3,3.5563814650552565,0.0015749198894618247,3,28.45105172044205,0.012599359115697177,3,32.007433185497305,0.014174279005157239,3,8.997695195000006,0.0039969012001234774,3,8.997695195000006,0.0039969012001234774,3
large_dense,allenai/OLMo-2-1124-7B,dense,large dense baseline,decode,2,32,256,9.103951910000054,0.0022535616635591528,3,7.029914398376022,0.001740067059808697,3,56.239315187008174,0.013920536478469575,3,63.26922958538419,0.015660603538278337,3,9.103618876833366,0.0022391739758223952,3,9.103670351333372,0.0022537219349085414,3
large_dense,allenai/OLMo-2-1124-7B,dense,large dense baseline,decode,4,32,256,9.267581517333232,0.009363032474446134,3,13.811595486559902,0.013946784255881904,3,110.49276389247922,0.11157427404707271,3,124.3043593790391,0.12552105830294913,3,9.266823833166617,0.00943512619924037,3,9.267117432000154,0.00938400167166938,3
large_dense,allenai/OLMo-2-1124-7B,dense,large dense baseline,decode,8,32,256,9.620834521333412,0.004706110721788345,3,26.608922569528172,0.013014697771565623,3,212.8713805562254,0.10411758217249859,3,239.48030312575352,0.11713227994405515,3,9.619236673791685,0.004548164769341867,3,9.620463451999967,0.00462622579014273,3
large_dense,allenai/OLMo-2-1124-7B,dense,large dense baseline,decode,16,32,256,10.270794825666599,0.005573339783142325,3,49.85009526522353,0.027050849324870938,3,398.80076212178824,0.2164067945989962,3,448.65085738701174,0.24345764392384442,3,10.267919124083326,0.005540905436948958,3,10.270304689666622,0.00555810875963535,3
large_dense,allenai/OLMo-2-1124-7B,dense,large dense baseline,decode,32,32,256,11.531793543999962,0.007215772888246593,3,88.79800556110348,0.055555300451225684,3,710.3840444888278,0.44444240360980547,3,799.1820500499315,0.499997704060942,3,11.526033284208333,0.007530932801898159,3,11.53075223533339,0.007235568248407511,3
large_dense,allenai/OLMo-2-1124-7B,dense,large dense baseline,decode,64,32,256,14.802050132333383,0.007104261069350514,3,138.3592337631359,0.06638970002736186,3,1106.8738701050872,0.5311176002188949,3,1245.233103868223,0.5975073002462189,3,14.790903139520822,0.0072065922771006085,3,14.798923608000072,0.007437964397984248,3
moe,allenai/OLMoE-1B-7B-0924-Instruct,moe,~1B active / 7B total,decode,1,32,256,2.3144426136667184,0.00520797258136319,3,13.826269858405992,0.031148886857509862,3,110.61015886724793,0.2491910948600789,3,124.43642872565393,0.2803399817175922,3,2.3142479206666544,0.005230696095011292,3,2.3142479206666544,0.005230696095011292,3
moe,allenai/OLMoE-1B-7B-0924-Instruct,moe,~1B active / 7B total,decode,2,32,256,3.195900180999994,0.08162763775100593,3,20.034460878958132,0.5170804859267357,3,160.27568703166506,4.136643887413893,3,180.31014791062321,4.653724373340651,3,3.1955861536667194,0.08162396313885668,3,3.195669024666737,0.08166570875892439,3
moe,allenai/OLMoE-1B-7B-0924-Instruct,moe,~1B active / 7B total,decode,4,32,256,4.533343204999937,0.014387033775771529,3,28.235422494138998,0.08973753764967403,3,225.88337995311198,0.7179003011974064,3,254.118802447251,0.8076378388470733,3,4.532624603416669,0.014461024388121527,3,4.532926734333387,0.014319766285365333,3
moe,allenai/OLMoE-1B-7B-0924-Instruct,moe,~1B active / 7B total,decode,8,32,256,6.180358304000038,0.3146923332632206,3,41.49495777919983,2.1629832032923573,3,331.95966223359864,17.30386562633884,3,373.45462001279844,19.466848829631235,3,6.178805732625013,0.31472280523381724,3,6.17990290033337,0.3147996839822616,3
moe,allenai/OLMoE-1B-7B-0924-Instruct,moe,~1B active / 7B total,decode,16,32,256,8.115260703000027,0.057436050626688315,3,63.09312348268144,0.44777731027073314,3,504.7449878614516,3.582218482165822,3,567.838111344133,4.029995792436583,3,8.112418984916667,0.05718147024291054,3,8.114743356333369,0.05757042832241549,3
moe,allenai/OLMoE-1B-7B-0924-Instruct,moe,~1B active / 7B total,decode,32,32,256,9.650589825666657,0.09249319454086607,3,106.1139975620061,1.0162830143097585,3,848.9119804960487,8.130264114478024,3,955.0259780580549,9.146547128787748,3,9.644795780374993,0.092676890617741,3,9.649021131666663,0.09225508528400089,3
moe,allenai/OLMoE-1B-7B-0924-Instruct,moe,~1B active / 7B total,decode,64,32,256,11.762371541999983,0.3482627090174715,3,174.21466954103212,5.072354541770503,3,1393.717356328257,40.57883633416402,3,1567.9320258692894,45.6511908759345,3,11.750968156755212,0.34815074989500494,3,11.759488676000046,0.34863366862387357,3
small_dense,allenai/OLMo-2-0425-1B-Instruct,dense,small dense baseline,decode,1,32,256,2.1935027723333556,0.006203387211275654,3,14.58861636151731,0.04121142446805384,3,116.70893089213848,0.3296913957444445,3,131.29754725365578,0.3709028202124679,3,2.193323983666611,0.006205697712810817,3,2.193323983666611,0.006205697712810817,3
small_dense,allenai/OLMo-2-0425-1B-Instruct,dense,small dense baseline,decode,2,32,256,2.253300652666667,0.0013248463271270518,3,28.40278534341034,0.0167021542077824,3,227.22228274728272,0.1336172336622401,3,255.62506809069305,0.15031938787004323,3,2.2529781849999986,0.00133759173128796,3,2.2530243769999743,0.0013355465611668128,3
small_dense,allenai/OLMo-2-0425-1B-Instruct,dense,small dense baseline,decode,4,32,256,2.3185185583333046,0.007349779875643562,3,55.2080373190364,0.17533042631416867,3,441.6642985522912,1.4026434105133494,3,496.87233587132755,1.5779738368275518,3,2.3178046710833464,0.007343557758290364,3,2.31815941866671,0.007272684909153912,3
small_dense,allenai/OLMo-2-0425-1B-Instruct,dense,small dense baseline,decode,8,32,256,2.44579091033332,0.012986172849378835,3,104.67157993541093,0.5542951709820432,3,837.3726394832875,4.434361367856345,3,942.0442194186984,4.98865653883849,3,2.4442121915416712,0.013058907382452271,3,2.4451913439999466,0.013224810843393326,3
small_dense,allenai/OLMo-2-0425-1B-Instruct,dense,small dense baseline,decode,16,32,256,2.722829886666735,0.007430968499552651,3,188.04059000118502,0.5123884726199295,3,1504.3247200094802,4.099107780959199,3,1692.365310010665,4.611496253579191,3,2.7199817631041676,0.007608497197858586,3,2.7222885013333475,0.0074198241596048495,3
small_dense,allenai/OLMo-2-0425-1B-Instruct,dense,small dense baseline,decode,32,32,256,3.222402425666663,0.0045506093106641434,3,317.7757546238335,0.4491215805570749,3,2542.206036990668,3.5929726444565993,3,2859.9817916145016,4.04209422501381,3,3.216884141958334,0.004400930957369367,3,3.221203418000035,0.00452983313879738,3
