variant,label,lora_rank,trainable_parameters,total_parameters,trainable_percent,peak_gpu_memory_mib,peak_gpu_memory_percent,peak_torch_allocated_mib,peak_torch_reserved_mib,training_time_seconds,trainer_reported_runtime_seconds,optimizer_steps,examples_per_second,mean_training_loss,initial_validation_loss,final_validation_loss
lora_r1,LoRA rank 1,1,549888,494582656,0.11118222471594313,13002,56.44699140401146,7355.693359375,12752.0,159.7347820949999,159.2794,126,12.557,1.4052886584448436,1.4183354377746582,1.3879177570343018
lora_r4,LoRA rank 4,4,2199552,496232320,0.4432504517239022,13038,56.60328210471477,7369.458984375,12788.0,164.01348786900007,163.5573,126,12.228,1.3889091998811751,1.4183354377746582,1.3739041090011597
lora_r16,LoRA rank 16,16,8798208,502830976,1.7497346861940344,13096,56.85508378918121,7427.677734375,12846.0,165.18931839700008,164.7448,126,12.14,1.367849454047188,1.4183354377746582,1.3647788763046265
full,Full-weight tuning,,494032768,494032768,100.0,15628,67.84752973864721,10368.5673828125,15378.0,159.56422620099966,159.1789,126,12.564,1.1936544104227944,1.4183354377746582,1.4123092889785767
